labelKey |English Label|Bengali Label|Hindi Label|French Label|German Label
content_applicantInfo_signature_label|Signature |  স্বাক্ষর |  हस्ताक्षर | Age |  Unterschrift
content_applicantInfo_nidImage_label|Nid Image |  নিদ চিত্র |  उदासीन छवि | Profile Pic |  Nid Image
content_applicantInfo_eduQualification_label|Edu Qualification |  এডু Applicant Info List |  एडू। Applicant Info List | Signature |  Edu Applicant Info List
content_applicantInfo_bloodGroup_label|Blood Group | Applicant Info Form | Applicant Info Form | Nid Image | Applicant Info Form
content_applicantInfo_religion_label|Religion | Applicant Info Report List | Applicant Info Report List | Edunullnull3nullnullnullf4b15d2ecd4758033fe741edf157999dNO_LAUNCH_DOC_DOC.mdQualification | Applicant Info Report List
content_applicantInfo_address_label|Address | Job Application Id | Job Application Id |  Groupe sanguin | Job Application Id
content_applicantInfo_streetAddress_label|Street Address | Enrollment Id | Enrollment Id |  Religion | Enrollment Id
content_applicantInfo_district_label|District | First Name | First Name |  Adresse | First Name
content_applicantInfo_policeStation_label|Police Station | Last Name | Last Name |  Adresse | Last Name
content_applicantInfo_postCode_label|Post Code | Father Name | Father Name |  District | Father Name
content_applicantInfo_chairmanName_label|Chairman Name | Mother Name | Mother Name |  Commissariat de police | Mother Name
content_applicantInfo_contactNo_label|Contact No | Spouse Name | Spouse Name |  Code postal | Spouse Name
content_applicantInfo_interviewInfo_label|Interview Info | Nationality | Nationality |  Code postal | Nationality
content_applicantInfo_traineeCourses_label|Trainee Courses | Gender | Gender |  Nom du président | Gender
content_applicantInfo_postingId_label|Posting Id | Age | Age |  N ° de contact | Age
content_applicantInfo_email_label|Email | Profile Pic | Profile Pic |  Informations sur l’entrevue | Profile Pic
content_applicantInfo_password_label|Password | Signature | Signature |  Cours pour stagiaires | Signature
content_applicantInfo_isJoined_label|Is Joined | Nid Image | Nid Image |  Identifiant d'affichage | Nid Image

content_traineeCoursesList_label|Trainee Courses List | প্রশিক্ষণার্থী কোর্স তালিকা | प्रशिक्षु पाठ्यक्रम सूची | Liste des cours de stagiaire | Liste der Praktikantenkurse
content_traineeCoursesForm_label|Trainee Courses Form |  প্রশিক্ষণার্থী কোর্স ফর্ম |  प्रशिक्षु पाठ्यक्रम प्रपत्र |  Formulaire de cours de stagiaire |  Formular für Praktikantenkurse
content_traineeCoursesReportList_label|Trainee Courses Report List |  প্রশিক্ষণার্থী কোর্স রিপোর্ট তালিকা |  प्रशिक्षु पाठ्यक्रम रिपोर्ट सूची |  Liste du rapport de cours de stagiaire |  Liste der Praktikantenkurse
content_traineeCourses_courseId_label|Course Id |  কোর্স আইডি |  पाठ्यक्रम आईडी |  Identifiant du cours |  Kurs-ID
content_traineeCourses_applicantInfoId_label|Applicant Info Id |  আবেদনকারী তথ্য আইডি |  आवेदक जानकारी आईडी |  Identifiant du candidat Code abrégé |  Bewerberinformations-ID
content_traineeCourses_shortCode_label|Short Code |  শর্ট কোড |  लघु कोड | Trainee Courses List |  Funktionscode

content_interviewInfoList_label|Interview Info List | সাক্ষাত্কার তথ্য তালিকা | साक्षात्कार सूचना सूची | Liste d'informations sur les entretiens Formulaire d'informations sur les entretiens Liste de rapports sur les entretiens Id du candidat Type d'entrevue Code abrégé Nombre total de points Points obtenus Description Id de l'intervieweurInterview Info List | Liste der Vorstellungsgesprächsinformationen
content_interviewInfoForm_label|Interview Info Form |  সাক্ষাত্কার তথ্য ফর্ম |  साक्षात्कार सूचना प्रपत्र | Interview Info Form |  Formular für Vorstellungsgesprächsinformationen
content_interviewInfoReportList_label|Interview Info Report List |  সাক্ষাত্কার তথ্য প্রতিবেদন তালিকা |  साक्षात्कार सूचना रिपोर्ट सूची | Interview Info Report List |  Berichtsliste für Vorstellungsgesprächsinformationen
content_interviewInfo_applicantInfoId_label|Applicant Info Id |  আবেদনকারীর তথ্য আইডি |  आवेदक जानकारी आईडी | Applicant Info Id |  Bewerberinformations-ID
content_interviewInfo_interviewType_label|Interview Type |  সাক্ষাত্কারের ধরন |  साक्षात्कार प्रकार | Interview Type |  Art des Vorstellungsgesprächs
content_interviewInfo_shortCode_label|Short Code |  সংক্ষিপ্ত কোড |  लघु | Short Code |  Funktionscode
content_interviewInfo_totalMarks_label|Total Marks |  মোট চিহ্ন |  कुल कुल अंक | Total Marks |  Gesamtpunktzahl
content_interviewInfo_obtainedMarks_label|Obtained Marks |  প্রাপ্ত চিহ্নসমূহ |  प्राप्त अंक | Obtained Marks |  Erhaltene Punkte
content_interviewInfo_description_label|Description |  বর্ণনা |  विवरण | Description |  Beschreibung
content_interviewInfo_interviewerId_label|Interviewer Id |  সাক্ষাত্কারের আইডি |  साक्षात्कारकर्ता आईडी।Interview Info List | Interviewer Id |  Interviewer-ID

content_employeeList_label|Employee List | কর্মচারী তালিকা | कर्मचारी सूची | Liste des employés | Mitarbeiterliste
content_employeeForm_label|Employee Form |  কর্মচারী ফর্ম |  कर्मचारी प्रपत्र |  Formulaire d’employé |  Mitarbeiterformular
content_employeeReportList_label|Employee Report List |  কর্মীর রিপোর্টের তালিকা |  कर्मचारी रिपोर्ट सूची |  Liste des rapports des employés |  Mitarbeiterberichtsliste
content_employee_companyProfileId_label|Company Profile Id |  কোম্পানির প্রোফাইল আইডি |  कंपनी प्रोफाइल आईडी |  Identifiant du profil d’entreprise |  Firmenprofil-ID
content_employee_trainingInfo_label|Training Info |  প্রশিক্ষণের তথ্য |  प्रशिक्षण जानकारी |  Informations de formation |  Schulungsinformationen
content_employee_empDocInfo_label|Emp Doc Info |  এমপ ডক্স ইনফো |  नियोक्ता |  Informations sur le titulaire Identifiant du candidat Prénom Nom de famille Nom du père |  Mitarbeiter-Doc-Info
content_employee_applicantId_label|Applicant Id |  আবেদক আইডি |  आवेदक आईडी |  Nom de mère |  Bewerber-ID
content_employee_firstName_label|First Name |  প্রথম নাম |  पहला नाम |  Nom de la conjointe |  Vorname
content_employee_lastName_label|Last Name |  শেষ নাম |  अंतिम नाम |  Nationalité |  Nachname
content_employee_fatherName_label|Father Name |  পিতার নাম |  पिता का नाम |  Sexe |  Name des Vaters
content_employee_motherName_label|Mother Name |  মাতার নাম |  माता का नाम |  Âge |  Name der Mutter
content_employee_spouseName_label|Spouse Name |  স্ত্রীর নাম |  पति का नाम |  Profil Signature et Employee List |  Name des Ehepartners
content_employee_nationality_label|Nationality |  জাতীয়তা |  राष्ट्रीयता | Employee Form |  Nationalität
content_employee_gender_label|Gender |  লিঙ্গ |  लिंग | Employee Report List |  Geschlecht
content_employee_age_label|Age |  বয়স |  आयु | Company Profile Id |  Alter
content_employee_profilePic_label|Profile Pic |  প্রোফাইল পিক |  प्रोफाइल पिक | Training Info |  Profilbild
content_employee_signature_label|Signature |  স্বাক্ষর |  हस्ताक्षर | Emp Doc Info |  Unterschrift
content_employee_nidImage_label|Nid Image |  Employee List |  Employee List | Applicant Id |  Employee List
content_employee_eduQualification_label|Edu Qualification | Employee Form | Employee Form | First Name | Employee Form
content_employee_bloodGroup_label|Blood Group | Employee Report List | Employee Report List | Last Name | Employee Report List
content_employee_religion_label|Religion | Company Profile Id | Company Profile Id | Father Name | Company Profile Id
content_employee_address_label|Address | Training Info | Training Info | Mother Name | Training Info
content_employee_streetAddress_label|Street Address | Emp Doc Info | Emp Doc Info | Spouse Name | Emp Doc Info
content_employee_district_label|District | Applicant Id | Applicant Id | Nationality | Applicant Id
content_employee_policeStation_label|Police Station | First Name | First Name | Gender | First Name
content_employee_postCode_label|Post Code | Last Name | Last Name | Age | Last Name
content_employee_chairmanName_label|Chairman Name | Father Name | Father Name | Profile Pic | Father Name
content_employee_contactNo_label|Contact No | Mother Name | Mother Name | Signature | Mother Name
content_employee_email_label|Email | Spouse Name | Spouse Name | nullnull3nullnullnullf4b15d2ecd4758033fe741edf157999dNO_LAUNCH_DOC_DOC.mdNid Image | Spouse Name
content_employee_managerId_label|Manager Id | Nationality | Nationality |  qualification Edu | Nationality

content_employeePositionList_label|Employee Position List | কর্মচারী পজিশনের তালিকা | कर्मचारी स्थिति सूची | Liste des postes des employés | Mitarbeiterpositionsliste
content_employeePositionForm_label|Employee Position Form |  কর্মী পজিশনের ফর্ম |  कर्मचारी स्थिति प्रपत्र |  Formulaire de poste des employés |  Mitarbeiterpositionsformular
content_employeePositionReportList_label|Employee Position Report List |  কর্মী পজিশনের রিপোর্টের তালিকা |  कर्मचारी स्थिति रिपोर्ट सूची |  Liste des rapports sur les postes des employés |  Mitarbeiterpositionsberichtsliste
content_employeePosition_employeeId_label|Employee Id |  কর্মচারী আইডি |  कर्मचारी आईडी |  Identifiant de l'employé |  Mitarbeiter-ID
content_employeePosition_jobPositionId_label|Job Position Id |  চাকরির অবস্থানের আইডি |  नौकरी की स्थिति विवरण विवरण |  Identifiant du poste de travail |  Jobpositions-ID
content_employeePosition_description_label|Description |  বর্ণনা | Employee Position List |  Description |  Beschreibung

content_attendanceInfoList_label|Attendance Info List | উপস্থিতি সম্পর্কিত তথ্য তালিকা | उपस्थिति जानकारी सूची | Liste d’informations sur les présences formulaire d’informations sur les présences liste de rapports sur les présences identifiant de l’employé date de présence description identifiant du superviseurAttendance Info List | Anwesenheitsinformationsliste
content_attendanceInfoForm_label|Attendance Info Form |  উপস্থিতি সম্পর্কিত তথ্য ফর্ম |  उपस्थिति जानकारी प्रपत्र | Attendance Info Form |  Anwesenheitsinformationsformular
content_attendanceInfoReportList_label|Attendance Info Report List |  উপস্থিতি সম্পর্কিত তথ্য প্রতিবেদন তালিকা |  उपस्थिति जानकारी रिपोर्ट सूची | Attendance Info Report List |  Anwesenheitsinformationsberichtsliste
content_attendanceInfo_employeeId_label|Employee Id |  কর্মচারী আইডি |  कर्मचारी आईडी | Employee Id |  Mitarbeiter-ID
content_attendanceInfo_attendanceDate_label|Attendance Date |  উপস্থিতির তারিখ |  उपस्थिति तिथि | Attendance Date |  Anwesenheitsdatum
content_attendanceInfo_description_label|Description |  বিবরণ |  विवरण | Description |  Beschreibung
content_attendanceInfo_supervisorId_label|Supervisor Id |  সুপারভাইজার আইডি |  पर्यवेक्षक आईडी।Attendance Info List | Supervisor Id |  Betreuer-ID

content_courseList_label|Course List | কোর্সের তালিকা | पाठ्यक्रम सूची | Liste des cours | Kursliste
content_courseForm_label|Course Form |  কোর্স ফর্ম |  पाठ्यक्रम प्रपत्र |  Formulaire de cours |  Kursformular
content_courseReportList_label|Course Report List |  কোর্স রিপোর্টের তালিকা |  पाठ्यक्रम रिपोर्ट सूची |  Liste des rapports de cours |  Kursberichtsliste
content_course_subject_label|Subject |  বিষয় |  विषय |  Objet |  Betreff
content_course_shortCode_label|Short Code |  সংক্ষিপ্ত কোড |  संक्षिप्त कोड |  Code abrégé |  Funktionscode
content_course_description_label|Description |  বিবরণ |  विवरण |  Description |  Beschreibung
content_course_applicantInfoId_label|Applicant Info Id |  আবেদনকারীর তথ্য আইডি |  आवेदक सूचना आईडी |  Identifiant Info sur le candidat |  Bewerberinformations-ID
content_course_supervisorId_label|Supervisor Id |  সুপারভাইজার আইডি |  पर्यवेक्षक आईडी |  Identifiant du superviseur |  Betreuer-ID

content_subjectList_label|Subject List | সাবজেক্ট তালিকা | विषय सूची | Liste des sujets Forme du sujet Liste du rapport du sujet Titre Description Date du cours Heure de début Durée Identifiant du cours Identifiant de l’enseignantSubject List | Themenliste
content_subjectForm_label|Subject Form |  সাবজেক্ট ফর্ম |  विषय प्रपत्र | Subject Form |  Themenformular
content_subjectReportList_label|Subject Report List |  সাবজেক্ট রিপোর্টের লিস্ট |  विषय रिपोर्ट सूची | Subject Report List |  Themenberichtsliste
content_subject_title_label|Title |  শিরোনাম |  शीर्षक | Title |  Titel
content_subject_description_label|Description |  বর্ণনা |  विवरण | Description |  Beschreibung
content_subject_classDate_label|Class Date |  শ্রেণীর তারিখ |  वर्ग तिथि | Class Date |  Klassendatum
content_subject_startHour_label|Start Hour |  শুরুর সময় |  घंटा प्रारंभ | Start Hour |  Startstunde
content_subject_duration_label|Duration |  সময়কাল |  अवधि | Duration |  Dauer
content_subject_courseId_label|Course Id |  কোর্স আইডি |  पाठ्यक्रम क्रमांक | Course Id |  Kurs-ID
content_subject_teacherId_label|Teacher Id |  শিক্ষক আইডি |  शिक्षक का आईडी | Teacher Id |  Lehrerkennung

content_trainingInfoList_label|Training Info List | প্রশিক্ষণ সম্পর্কিত তথ্য তালিকা | प्रशिक्षण सूचना सूची | Liste d'informations de formation | Liste der Schulungsinformationen
content_trainingInfoForm_label|Training Info Form |  প্রশিক্ষণের তথ্য ফর্ম |  प्रशिक्षण सूचना प्रपत्र |  Formulaire d'informations de formation |  Formular für Schulungsinformationen
content_trainingInfoReportList_label|Training Info Report List |  প্রশিক্ষণ সম্পর্কিত তথ্য প্রতিবেদন তালিকা |  प्रशिक्षण सूचना रिपोर्ट सूची |  Liste de rapports d'informations de formation |  Liste der Schulungsbericht
content_trainingInfo_employeeId_label|Employee Id |  কর্মচারী আইডি |  कर्मचारी आईडी |  Identifiant d'employé |  Mitarbeiter-ID
content_trainingInfo_courseId_label|Course Id |  কোর্স আইডি |  पाठ्यक्रम क्रमांक |  Identifiant de cours |  Kurs-ID
content_trainingInfo_shortCode_label|Short Code |  শর্ট কোড |  संक्षिप्त कोड |  Code abrégé |  Funktionscode
content_trainingInfo_description_label|Description |  বিবরণ |  विवरण |  Description |  Beschreibung
content_trainingInfo_supervisorId_label|Supervisor Id |  সুপারভাইজার আইডি |  पर्यवेक्षक आईडी |  Identifiant de superviseur |  Betreuer-ID

content_empTrainingList_label|Emp Training List | এম্প ট্রেনিং লিস্ট | एम्प्ल ट्रेनिंग लिस्ट | Liste de formation des employés | Emp-Trainingsliste
content_empTrainingForm_label|Emp Training Form |  এমপ ট্রেনিং ফর্ম |  इम्प्लिमेंटिंग फॉर्म |  Formulaire de formation des employés |  Emp-Trainingsformular
content_empTrainingReportList_label|Emp Training Report List |  এমপ ট্রেনিং রিপোর্টের তালিকা |  इम्प्लिमेंटेशन रिपोर्ट लिस्ट |  Liste du rapport de formation des employés |  Emp-Trainingsberichtsliste
content_empTraining_courseId_label|Course Id |  কোর্স আইডি |  कोर्स आईडी |  ID du cours |  Kurs-ID
content_empTraining_employeeId_label|Employee Id |  কর্মচারী আইডি |  एम्प्लॉई आईडी |  ID de l'employé |  Mitarbeiter-ID
content_empTraining_title_label|Title |  শিরোনাম |  टाइटल |  Titre |  Titel
content_empTraining_trainingDetails_label|Training Details |  প্রশিক্ষণের বিশদ |  ट्रेनिंग डिटेल्स |  Détails de la formation |  Trainingsdetails
content_empTraining_approverId_label|Approver Id |  অনুমোদনকারী আইডি |  अप्रूवल आईडी।Emp Training List |  ID de l'approbateur |  Genehmiger-ID

content_trainingDetailsList_label|Training Details List | প্রশিক্ষণের বিশদ তালিকা | प्रशिक्षण विवरण सूची | Liste des détails de la formation | Liste der Trainingsdetails
content_trainingDetailsForm_label|Training Details Form |  প্রশিক্ষণের বিশদ ফর্ম |  प्रशिक्षण विवरण प्रपत्र |  Formulaire des détails de la formation |  Formular für Trainingsdetails
